Wall time,Step,Value
1653924927.7662766,464252,9.8100004196167
1653924933.203778,466372,9.800000190734863
1653924935.2506502,467156,9.710000038146973
1653924942.688151,470044,9.829999923706055
1653924955.1881514,474892,10.329999923706055
1653924959.0475278,476364,10.4399995803833
1653924960.906906,477100,10.4399995803833
1653924972.8600256,481692,10.600000381469727
1653924983.281901,485728,10.489999771118164
1653925001.6272006,492784,11.050000190734863
1653925012.8459513,497056,11.15999984741211
1653925014.3303263,497632,11.170000076293945
1653925018.6584516,499268,11.079999923706055
1653925023.0490773,500964,11.170000076293945
1653925028.4397037,503064,11.300000190734863
1653925032.3303263,504560,11.449999809265137
1653925033.8615746,505144,11.569999694824219
1653925046.5647044,510040,11.779999732971191
1653925063.1737804,516208,11.880000114440918
1653925063.876903,516496,11.880000114440918
1653925069.0487869,518484,11.880000114440918
1653925071.0487778,519260,11.859999656677246
1653925091.910087,527236,12.109999656677246
1653925094.9257097,528404,12.319999694824219
1653925100.8632178,530644,12.529999732971191
1653925103.5194578,531660,12.479999542236328
1653925104.7225826,532100,12.649999618530273
1653925106.3632102,532736,12.539999961853027
1653925107.2069597,533068,12.539999961853027
1653925124.8515286,539984,12.829999923706055
1653925129.0077858,541604,13.350000381469727
1653925137.3827808,544908,13.329999923706055
1653925160.3696966,553980,13.329999923706055
1653925167.5415778,556816,13.210000038146973
1653925179.9165719,561536,13.210000038146973
1653925180.947823,561952,13.210000038146973
1653925186.182195,564000,13.380000114440918
1653925195.8697004,567808,13.510000228881836
1653925220.1334527,577400,14.75
1653925221.9928274,578116,14.75
1653925223.508453,578720,14.720000267028809
1653925231.274077,581792,14.869999885559082
1653925247.352201,588040,14.739999771118164
1653925251.6803327,589736,14.5
1653925271.6178305,597572,14.899999618530273
1653925273.8522043,598464,14.899999618530273
1653925279.211577,600576,15.0
1653925285.5865755,603080,15.390000343322754
1653925289.7584531,604752,15.449999809265137
1653925291.1490755,605312,15.619999885559082
1653925295.9459524,607176,15.579999923706055
